"Credit liabilities of households (x 1,000,000)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Frequency: Monthly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Table: 36-10-0639-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Release date: 2023-03-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography: Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seasonality,Seasonally adjusted data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geography,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit liabilities of households 1 2 3,Jan-17,Symbol,Feb-17,Symbol,Mar-17,Symbol,Apr-17,Symbol,May-17,Symbol,Jun-17,Symbol,Jul-17,Symbol,Aug-17,Symbol,Sep-17,Symbol,Oct-17,Symbol,Nov-17,Symbol,Dec-17,Symbol,Jan-18,Symbol,Feb-18,Symbol,Mar-18,Symbol,Apr-18,Symbol,May-18,Symbol,Jun-18,Symbol,Jul-18,Symbol,Aug-18,Symbol,Sep-18,Symbol,Oct-18,Symbol,Nov-18,Symbol,Dec-18,Symbol,Jan-19,Symbol,Feb-19,Symbol,Mar-19,Symbol,Apr-19,Symbol,May-19,Symbol,Jun-19,Symbol,Jul-19,Symbol,Aug-19,Symbol,Sep-19,Symbol,Oct-19,Symbol,Nov-19,Symbol,Dec-19,Symbol,Jan-20,Symbol,Feb-20,Symbol,Mar-20,Symbol,Apr-20,Symbol,May-20,Symbol,Jun-20,Symbol,Jul-20,Symbol,Aug-20,Symbol,Sep-20,Symbol,Oct-20,Symbol,Nov-20,Symbol,Dec-20,Symbol,Jan-21,Symbol,Feb-21,Symbol,Mar-21,Symbol,Apr-21,Symbol,May-21,Symbol,Jun-21,Symbol,Jul-21,Symbol,Aug-21,Symbol,Sep-21,Symbol,Oct-21,Symbol,Nov-21,Symbol,Dec-21,Symbol,Jan-22,Symbol,Feb-22,Symbol,Mar-22,Symbol,Apr-22,Symbol,May-22,Symbol,Jun-22,Symbol,Jul-22,Symbol,Aug-22,Symbol,Sep-22,Symbol,Oct-22,Symbol,Nov-22,Symbol,Dec-22,Symbol,Jan-23,Symbol
,Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-mortgage loans,"667,394",,"670,454",,"674,522",,"676,412",,"678,617",,"680,292",,"682,900",,"684,360",,"685,264",,"686,148",,"687,759",,"688,817",,"689,898",,"692,231",,"694,276",,"695,993",,"699,868",,"702,054",,"703,969",,"705,467",,"707,574",,"708,862",,"710,814",,"711,552",,"710,600",,"711,301",,"712,375",,"715,119",,"717,895",,"719,201",,"720,025",,"719,776",,"719,837",,"720,282",,"719,536",,"721,948",,"721,648",,"722,600",,"714,064",,"702,640",,"697,214",,"698,197",,"698,417",,"699,825",,"700,149",,"699,889",,"700,032",,"696,702",,"694,227",,"692,501",,"691,094",,"692,264",,"692,619",,"693,471",,"693,353",,"693,836",,"695,890",,"696,402",,"701,453",,"700,736",,"701,863",,"705,642",,"708,355",,"712,921",,"716,427",,"718,006",,"718,198",,"720,740",,"722,009",,"724,565",,"726,021",,"727,427",,"728,490",
Chartered banks 1,"477,815",,"478,637",,"480,074",,"480,897",,"481,949",,"482,892",,"484,197",,"484,128",,"484,079",,"484,659",,"485,657",,"486,752",,"486,206",,"486,539",,"486,946",,"487,370",,"490,270",,"491,178",,"492,104",,"492,740",,"494,018",,"495,005",,"496,687",,"496,307",,"495,649",,"496,552",,"497,539",,"499,368",,"501,574",,"502,693",,"503,335",,"503,354",,"503,511",,"503,463",,"502,426",,"504,463",,"506,279",,"509,170",,"502,459",,"490,620",,"485,488",,"485,954",,"486,438",,"488,031",,"488,597",,"488,541",,"488,849",,"485,500",,"484,092",,"483,342",,"482,774",,"484,634",,"485,366",,"486,995",,"486,523",,"486,544",,"488,130",,"489,078",,"494,641",,"494,509",,"495,098",,"498,602",,"500,802",,"505,393",,"509,029",,"510,676",,"510,787",,"512,971",,"514,129",,"516,436",,"517,787",,"519,439",,"519,962",
Personal loans 1 2,"99,313",,"99,610",,"99,999",,"100,469",,"100,856",,"101,099",,"101,503",,"101,496",,"101,700",,"102,325",,"101,666",,"102,208",,"102,746",,"103,082",,"103,205",,"103,439",,"103,701",,"103,963",,"104,088",,"104,576",,"104,973",,"105,181",,"105,528",,"105,587",,"105,590",,"105,362",,"105,983",,"106,725",,"107,339",,"108,033",,"108,344",,"109,077",,"109,668",,"110,195",,"110,591",,"111,118",,"111,041",,"111,620",,"111,366",,"110,501",,"109,722",,"110,468",,"111,483",,"111,875",,"112,118",,"112,524",,"112,925",,"113,125",,"115,317",,"115,128",,"115,244",,"116,017",,"116,100",,"116,423",,"116,308",,"116,424",,"116,528",,"116,485",,"116,912",,"116,852",,"116,843",,"117,087",,"117,727",,"118,186",,"118,644",,"118,780",,"118,785",,"119,078",,"119,667",,"120,160",,"120,378",,"120,732",,"120,982",
Of which: Auto loans 1 2,"76,929",,"77,288",,"77,723",,"78,235",,"78,700",,"79,243",,"79,239",,"79,710",,"80,083",,"80,526",,"80,864",,"81,309",,"81,742",,"82,028",,"82,331",,"82,912",,"83,395",,"83,525",,"83,799",,"84,220",,"84,448",,"84,752",,"84,934",,"85,038",,"85,505",,"85,350",,"85,745",,"86,492",,"86,951",,"87,384",,"87,969",,"88,520",,"88,951",,"89,366",,"89,705",,"89,914",,"88,012",,"88,709",,"88,522",,"87,536",,"87,277",,"87,862",,"88,802",,"89,205",,"89,766",,"89,953",,"90,244",,"90,493",,"90,298",,"90,483",,"90,925",,"91,465",,"91,508",,"91,836",,"91,888",,"91,872",,"91,532",,"91,656",,"91,740",,"91,886",,"92,046",,"92,351",,"92,770",,"93,003",,"93,505",,"93,739",,"93,662",,"94,060",,"94,775",,"95,233",,"95,620",,"95,949",,"96,467",
Credit cards 1 2,"81,040",,"81,261",,"81,426",,"81,781",,"81,868",,"81,966",,"82,160",,"82,210",,"82,377",,"82,516",,"82,904",,"82,618",,"82,569",,"82,108",,"82,055",,"81,881",,"82,551",,"82,835",,"83,049",,"83,151",,"83,572",,"83,898",,"84,024",,"84,455",,"84,498",,"84,736",,"84,566",,"85,398",,"86,022",,"86,077",,"86,323",,"86,099",,"86,450",,"86,615",,"85,971",,"87,805",,"89,708",,"90,964",,"85,299",,"78,665",,"78,197",,"78,824",,"78,645",,"79,260",,"78,362",,"78,097",,"79,044",,"76,830",,"75,060",,"75,319",,"75,751",,"75,443",,"75,586",,"75,981",,"76,968",,"77,443",,"78,305",,"78,692",,"80,599",,"80,412",,"80,151",,"82,112",,"82,576",,"84,265",,"85,595",,"86,157",,"86,638",,"87,537",,"88,660",,"90,079",,"90,639",,"91,413",,"92,324",
Lines of credit 1 2 4,"246,554",,"246,848",,"247,602",,"248,041",,"248,800",,"249,610",,"250,168",,"249,961",,"249,586",,"249,325",,"248,506",,"248,890",,"249,330",,"249,099",,"249,110",,"249,363",,"249,352",,"249,630",,"250,180",,"249,952",,"250,126",,"250,215",,"251,080",,"250,532",,"249,589",,"249,948",,"249,722",,"249,508",,"249,827",,"249,748",,"249,534",,"249,071",,"248,259",,"247,337",,"246,311",,"245,539",,"240,427",,"240,267",,"241,941",,"238,068",,"234,284",,"232,576",,"231,527",,"231,090",,"231,274",,"230,150",,"228,759",,"227,226",,"224,868",,"223,370",,"221,471",,"222,037",,"221,498",,"221,218",,"220,740",,"220,323",,"220,336",,"220,670",,"221,610",,"222,492",,"223,404",,"224,368",,"224,953",,"226,399",,"228,012",,"228,882",,"229,054",,"229,766",,"229,649",,"229,710",,"229,717",,"229,873",,"230,299",
"Lines of credit, of which: excluding home equity lines of credit 1 2","70,991",,"71,068",,"71,305",,"71,371",,"71,526",,"71,718",,"71,582",,"71,707",,"71,453",,"71,646",,"71,065",,"71,223",,"71,821",,"71,767",,"71,965",,"72,440",,"72,701",,"73,216",,"73,719",,"73,456",,"73,758",,"73,638",,"74,586",,"74,153",,"73,120",,"73,972",,"74,246",,"74,410",,"74,905",,"75,232",,"75,390",,"75,813",,"75,897",,"75,776",,"75,461",,"75,233",,"70,351",,"70,279",,"71,046",,"68,824",,"67,059",,"66,402",,"66,058",,"65,965",,"65,786",,"65,563",,"65,048",,"64,573",,"64,147",,"63,817",,"63,581",,"63,484",,"63,213",,"63,245",,"63,255",,"63,107",,"63,195",,"63,305",,"63,674",,"64,056",,"64,381",,"64,563",,"64,706",,"65,332",,"66,054",,"66,585",,"66,817",,"67,232",,"67,344",,"67,561",,"67,717",,"67,906",,"68,112",
Other personal loans 1 2,"20,026",,"20,217",,"20,308",,"20,426",,"20,662",,"20,908",,"21,030",,"21,239",,"21,251",,"21,154",,"23,032",,"23,206",,"21,652",,"22,131",,"22,101",,"22,094",,"23,658",,"23,458",,"23,197",,"23,211",,"23,165",,"23,201",,"23,131",,"22,519",,"22,245",,"22,000",,"21,863",,"21,866",,"21,864",,"21,726",,"21,946",,"21,843",,"21,794",,"21,694",,"21,623",,"21,633",,"25,194",,"25,459",,"23,561",,"23,937",,"24,008",,"24,497",,"24,955",,"25,517",,"26,241",,"27,195",,"27,387",,"27,975",,"28,801",,"29,307",,"29,884",,"30,229",,"30,774",,"31,360",,"30,653",,"30,420",,"30,886",,"30,950",,"32,431",,"31,688",,"31,770",,"31,496",,"31,490",,"32,067",,"31,855",,"31,669",,"31,401",,"31,536",,"31,108",,"30,697",,"30,406",,"30,267",,"29,695",
Unincorporated business 1 2,"30,882",,"30,701",,"30,739",,"30,180",,"29,763",,"29,309",,"29,336",,"29,222",,"29,165",,"29,339",,"29,549",,"29,830",,"29,909",,"30,119",,"30,475",,"30,593",,"31,008",,"31,292",,"31,590",,"31,850",,"32,182",,"32,510",,"32,924",,"33,214",,"33,727",,"34,506",,"35,405",,"35,871",,"36,522",,"37,109",,"37,188",,"37,264",,"37,340",,"37,622",,"37,930",,"38,368",,"39,909",,"40,860",,"40,292",,"39,449",,"39,277",,"39,589",,"39,828",,"40,289",,"40,602",,"40,575",,"40,734",,"40,344",,"40,046",,"40,218",,"40,424",,"40,908",,"41,408",,"42,013",,"41,854",,"41,934",,"42,075",,"42,281",,"43,089",,"43,065",,"42,930",,"43,539",,"44,056",,"44,476",,"44,923",,"45,188",,"44,909",,"45,054",,"45,045",,"45,790",,"46,647",,"47,154",,"46,662",
Non-banks 1,"189,579",,"191,817",,"194,448",,"195,515",,"196,668",,"197,400",,"198,703",,"200,232",,"201,185",,"201,489",,"202,102",,"202,065",,"203,692",,"205,692",,"207,330",,"208,623",,"209,598",,"210,876",,"211,865",,"212,727",,"213,556",,"213,857",,"214,127",,"215,245",,"214,951",,"214,749",,"214,836",,"215,751",,"216,321",,"216,508",,"216,690",,"216,422",,"216,326",,"216,819",,"217,110",,"217,485",,"215,369",,"213,430",,"211,605",,"212,020",,"211,726",,"212,243",,"211,979",,"211,794",,"211,552",,"211,348",,"211,183",,"211,202",,"210,135",,"209,159",,"208,320",,"207,630",,"207,253",,"206,476",,"206,830",,"207,292",,"207,760",,"207,324",,"206,812",,"206,227",,"206,765",,"207,040",,"207,553",,"207,528",,"207,398",,"207,330",,"207,411",,"207,769",,"207,880",,"208,129",,"208,234",,"207,988",,"208,528",
Government 1 5,"27,065",,"27,201",,"27,322",,"27,493",,"27,642",,"27,792",,"27,932",,"28,072",,"28,227",,"28,242",,"28,278",,"28,327",,"28,485",,"28,660",,"28,827",,"28,970",,"29,110",,"29,261",,"29,463",,"29,664",,"29,875",,"29,942",,"30,025",,"30,115",,"30,259",,"30,414",,"30,559",,"30,619",,"30,686",,"30,773",,"30,940",,"31,104",,"31,266",,"31,453",,"31,644",,"31,838",,"31,851",,"31,892",,"31,900",,"34,182",,"34,817",,"35,255",,"35,354",,"35,471",,"35,581",,"35,776",,"35,959",,"36,481",,"36,701",,"36,900",,"37,064",,"37,262",,"37,477",,"37,719",,"37,927",,"38,083",,"38,221",,"38,244",,"38,244",,"38,261",,"38,231",,"38,190",,"38,191",,"38,196",,"38,206",,"38,221",,"38,323",,"38,436",,"38,531",,"38,571",,"38,611",,"38,631",,"38,767",
Non-bank financial corporations 1 5,"151,534",,"153,358",,"155,560",,"156,384",,"157,314",,"157,824",,"159,145",,"160,691",,"161,642",,"161,807",,"162,263",,"162,053",,"163,541",,"165,383",,"166,873",,"167,989",,"168,788",,"169,881",,"170,668",,"171,329",,"171,947",,"172,158",,"172,322",,"173,327",,"172,796",,"172,355",,"172,204",,"172,997",,"173,436",,"173,474",,"173,461",,"173,001",,"172,716",,"173,021",,"173,119",,"173,299",,"171,675",,"170,166",,"168,838",,"167,180",,"166,466",,"166,754",,"166,366",,"166,040",,"165,664",,"165,414",,"165,210",,"164,856",,"163,579",,"162,414",,"161,421",,"160,543",,"159,960",,"158,951",,"159,153",,"159,514",,"159,898",,"159,465",,"158,979",,"158,403",,"158,898",,"159,148",,"159,587",,"159,588",,"159,479",,"159,427",,"159,352",,"159,544",,"159,508",,"159,704",,"159,757",,"159,478",,"159,888",
Credit unions and caisse populaires 1 5,"68,014",,"68,171",,"68,652",,"68,853",,"69,275",,"69,346",,"69,679",,"70,237",,"70,303",,"70,764",,"71,498",,"71,569",,"71,996",,"72,804",,"73,158",,"73,876",,"74,345",,"75,137",,"75,408",,"75,661",,"75,987",,"76,104",,"76,080",,"77,013",,"76,889",,"76,774",,"76,945",,"77,576",,"77,808",,"77,654",,"77,989",,"78,050",,"78,300",,"78,499",,"78,532",,"78,747",,"78,485",,"78,434",,"78,595",,"76,939",,"76,138",,"76,308",,"76,093",,"75,980",,"75,918",,"75,676",,"75,547",,"75,322",,"75,160",,"75,049",,"75,177",,"75,135",,"75,359",,"75,098",,"74,928",,"74,910",,"74,951",,"74,902",,"74,797",,"74,600",,"74,854",,"75,055",,"75,416",,"75,764",,"75,998",,"76,289",,"76,232",,"76,422",,"76,343",,"76,570",,"76,653",,"76,358",,"76,425",
Trust companies and mortgage loan companies 1 5,685,,740,,801,,834,,858,,861,,799,,797,,803,,812,,821,,816,,872,,896,,967,,974,,980,,989,,990,,"1,000",,"1,004",,981,,"1,060",,"1,051",,"1,079",,"1,119",,"1,164",,"1,201",,"1,236",,"1,255",,"1,261",,"1,211",,"1,215",,"1,225",,"1,238",,"1,239",,"1,090",,965,,819,,825,,826,,836,,786,,763,,690,,688,,662,,643,,625,,611,,585,,562,,521,,493,,485,,481,,478,,478,,479,,481,,489,,494,,502,,507,,522,,532,,545,,553,,569,,592,,614,,639,,694,
Financial vehicle corporations engaged in securitization 1 6,"12,626",,"12,607",,"12,590",,"12,430",,"12,270",,"12,112",,"12,453",,"12,784",,"13,087",,"12,372",,"11,647",,"10,845",,"10,935",,"11,004",,"11,087",,"10,935",,"10,773",,"10,616",,"10,878",,"11,142",,"11,401",,"11,303",,"11,208",,"11,109",,"11,007",,"10,915",,"10,812",,"10,994",,"11,180",,"11,360",,"11,207",,"11,053",,"10,905",,"11,125",,"11,339",,"11,559",,"11,533",,"11,389",,"11,208",,"11,143",,"11,063",,"10,984",,"10,761",,"10,538",,"10,322",,"10,667",,"11,001",,"11,346",,"11,026",,"10,737",,"10,417",,"10,268",,"10,115",,"9,966",,"10,596",,"11,227",,"11,837",,"11,978",,"12,114",,"12,255",,"12,501",,"12,722",,"12,968",,"12,934",,"12,900",,"12,866",,"13,065",,"13,264",,"13,456",,"13,467",,"13,477",,"13,488",,"13,457",
Other financial corporations n.e.i. 1 7,"70,209",,"71,840",,"73,517",,"74,267",,"74,911",,"75,505",,"76,214",,"76,873",,"77,449",,"77,859",,"78,297",,"78,823",,"79,738",,"80,679",,"81,661",,"82,204",,"82,690",,"83,139",,"83,392",,"83,526",,"83,555",,"83,770",,"83,974",,"84,154",,"83,821",,"83,547",,"83,283",,"83,226",,"83,212",,"83,205",,"83,004",,"82,687",,"82,296",,"82,172",,"82,010",,"81,754",,"80,567",,"79,378",,"78,216",,"78,273",,"78,439",,"78,626",,"78,726",,"78,759",,"78,734",,"78,383",,"78,000",,"77,545",,"76,768",,"76,017",,"75,242",,"74,578",,"73,965",,"73,394",,"73,144",,"72,896",,"72,632",,"72,107",,"71,589",,"71,067",,"71,054",,"70,877",,"70,701",,"70,383",,"70,059",,"69,740",,"69,510",,"69,305",,"69,140",,"69,075",,"69,013",,"68,993",,"69,312",
